name,vendor,generation,socket,lithography,cores,threads,base_clock_ghz,boost_clock_ghz,tdp_w,memory_types,max_memory_gb,memory_channels,ecc_support,has_igpu,url
Core i5-14400F,Intel,14th Gen (Raptor Lake Refresh),LGA1700,10nm,10,16,2.5,4.7,65,"DDR5, DDR4",192,2,No,No,https://pcspecs.io/cpus/core-i5-14400f
Core i5-14500,Intel,14th Gen,LGA1700,10nm,14,20,2.6,5.0,65,DDR4/DDR5,,,No,Yes,https://pcspecs.io/cpus/core-i5-14500
Core i5-14600,Intel,14th Gen,LGA1700,10nm,14,20,2.7,5.2,65,DDR4/DDR5,,,No,Yes,https://pcspecs.io/cpus/core-i5-14600
Core i5-14600K,Intel,14th Gen (Raptor Lake Refresh),LGA1700,10nm,14,20,3.5,5.3,125,"DDR5, DDR4",192,2,No,Yes,https://pcspecs.io/cpus/core-i5-14600k
Core i5-14600KF,Intel,14th Gen (Raptor Lake Refresh),LGA1700,10nm,14,20,3.5,5.3,125,"DDR5, DDR4",192,2,No,No,https://pcspecs.io/cpus/core-i5-14600kf
Core i5-14600T,Intel,Raptor Lake Refresh,LGA1700,10nm,14,20,1.8,5.1,35,"DDR5, DDR4",192,2,No,Yes,https://pcspecs.io/cpus/core-i5-14600t
Core i5-2500K,Intel,2nd Gen,LGA1155,32nm,4,4,3.3,3.7,95,DDR3,32,2,No,Yes,https://pcspecs.io/cpus/core-i5-2500k
Core i5-3570K,Intel,3rd Gen,LGA1155,22nm,4,4,3.4,3.8,77,DDR3,32,2,No,Yes,https://pcspecs.io/cpus/core-i5-3570k
Core i5-4430,Intel,4th Gen,LGA1150,22nm,4,4,3.0,3.2,84,DDR3,32,2,No,Yes,https://pcspecs.io/cpus/core-i5-4430
Core i5-4440,Intel,4th Gen,LGA1150,22nm,4,4,3.1,3.3,84,DDR3,32,2,No,Yes,https://pcspecs.io/cpus/core-i5-4440
Core i5-4460,Intel,4th Gen,LGA1150,22nm,4,4,3.2,3.4,84,DDR3,32,2,No,Yes,https://pcspecs.io/cpus/core-i5-4460
Core i5-4570,Intel,4th Gen,LGA1150,22nm,4,4,3.2,3.6,84,DDR3,32,2,No,Yes,https://pcspecs.io/cpus/core-i5-4570
Core i5-4590,Intel,4th Gen,LGA1150,22nm,4,4,3.3,3.7,84,DDR3,32,2,No,Yes,https://pcspecs.io/cpus/core-i5-4590
